# Basic Thermal Model Data - Nodes
# ARRAKIHS_ACASE2          02 March     2026 12:36:47
# ESATAN 2018 sp1            
#
# T,C,Q
-131.091,0.233333,0.0
-131.329,0.233333,0.0
-131.568,0.233333,0.0
-131.091,0.233333,0.0
-131.329,0.233333,0.0
-131.568,0.233333,0.0
-130.675,0.05,1.00000
-130.675,0.05,1.00000
-136.368,52.9200,0.416674E-01
-136.269,52.9200,0.416674E-01
-136.145,52.9200,0.416674E-01
-136.145,52.9200,0.416674E-01
-136.269,52.9200,0.416674E-01
-136.368,52.9200,0.416674E-01
-136.206,52.9200,0.416674E-01
-136.013,52.9200,0.416674E-01
-135.703,52.9200,0.416674E-01
-135.703,52.9200,0.416674E-01
-136.013,52.9200,0.416674E-01
-136.206,52.9200,0.416674E-01
-135.999,52.9200,0.416674E-01
-135.615,52.9200,0.416674E-01
-134.579,52.9200,0.291667
-134.579,52.9200,0.291667
-135.615,52.9200,0.416674E-01
-135.999,52.9200,0.416674E-01
-135.982,52.9200,0.416674E-01
-135.736,52.9200,0.416674E-01
-135.354,52.9200,0.416674E-01
-135.354,52.9200,0.416674E-01
-135.736,52.9200,0.416674E-01
-135.982,52.9200,0.416674E-01
-131.984,1.05000,0.0
-132.383,1.05000,0.500000
-132.882,1.05000,0.0
-133.319,1.05000,0.0
-133.693,1.05000,0.0
-134.129,1.05000,0.0
0.0,0.0,0.0
-270.000,0.0,0.0
